User_ID,Topic,Sentiment,Comment_Time,cleaned_comment
1,Đồ điện tử,Tiêu cực,2023-06-15 01:06:13,dịch vụ hỗ trợ sau bán hàng đồ điện tử quá kém
1,Sách,Trung tính,2023-09-07 09:44:08,sách ổn gì đặc biệt
1,Smartphone,Tích cực,2023-01-02 13:15:51,sản phẩm smartphone thực sự tốt so các thương hiệu khác
1,Smartphone,Tiêu cực,2023-03-10 18:21:57,sản phẩm smartphone đạt kỳ vọng thất vọng
1,Đồ điện tử,Tích cực,2023-02-28 03:39:21,thích sản phẩm đồ điện tử chất lượng tuyệt vời
1,Laptops,Tiêu cực,2023-04-30 08:38:02,sản phẩm laptops đạt kỳ vọng thất vọng
1,Giày dép,Tiêu cực,2023-06-28 20:44:21,bao giờ mua giày dép nữa
1,Smartphone,Trung tính,2023-12-19 19:30:58,bao giờ mua smartphone nữa
1,Laptops,Trung tính,2023-04-28 07:50:44,laptops ổn gì đặc biệt
1,Giày dép,Tích cực,2023-11-28 07:59:25,mình mua giày dép hài lòng
1,Laptops,Tiêu cực,2023-08-22 15:06:26,dịch vụ hỗ trợ sau bán hàng laptops quá kém
1,Đồ điện tử,Tích cực,2023-05-07 09:57:31,mình mua đồ điện tử hài lòng
1,Giày dép,Tích cực,2023-05-30 03:25:26,sản phẩm giày dép thực sự tốt so các thương hiệu khác
1,Smartphone,Trung tính,2023-09-13 18:38:52,smartphone ổn gì đặc biệt
1,Đồ điện tử,Trung tính,2023-10-31 00:05:54,đồ điện tử ổn gì đặc biệt
1,Đồ điện tử,Tiêu cực,2023-06-13 13:35:12,sản phẩm đồ điện tử đạt kỳ vọng thất vọng
1,Đồ điện tử,Tích cực,2023-12-26 23:11:19,thích sản phẩm đồ điện tử chất lượng tuyệt vời
1,Giày dép,Tích cực,2023-10-19 17:59:34,mình mua giày dép hài lòng
1,Giày dép,Tiêu cực,2023-04-30 01:38:23,dịch vụ hỗ trợ sau bán hàng giày dép quá kém
1,Đồ điện tử,Tiêu cực,2023-01-25 13:27:46,sản phẩm đồ điện tử đạt kỳ vọng thất vọng
1,Sách,Tiêu cực,2023-10-25 00:41:18,sản phẩm sách đạt kỳ vọng thất vọng
1,Sách,Trung tính,2023-01-19 15:35:43,bao giờ mua sách nữa
1,Laptops,Tiêu cực,2023-02-10 02:45:04,bao giờ mua laptops nữa
1,Laptops,Tích cực,2023-07-25 09:15:20,thích sản phẩm laptops chất lượng tuyệt vời
1,Đồ điện tử,Tiêu cực,2023-11-25 07:43:14,dịch vụ hỗ trợ sau bán hàng đồ điện tử quá kém
1,Đồ điện tử,Tiêu cực,2023-04-22 21:22:05,dịch vụ hỗ trợ sau bán hàng đồ điện tử quá kém
1,Sách,Tiêu cực,2023-06-12 03:54:32,sản phẩm sách đạt kỳ vọng thất vọng
1,Đồ điện tử,Tích cực,2023-04-23 14:57:22,sản phẩm đồ điện tử thực sự tốt so các thương hiệu khác
1,Laptops,Trung tính,2023-05-17 15:57:28,laptops ổn gì đặc biệt
1,Giày dép,Tiêu cực,2023-02-27 00:52:18,dịch vụ hỗ trợ sau bán hàng giày dép quá kém
1,Giày dép,Trung tính,2023-04-23 18:24:23,giày dép ổn gì đặc biệt
1,Sách,Tiêu cực,2023-12-15 07:28:36,dịch vụ hỗ trợ sau bán hàng sách quá kém
