User_ID,Topic,Comment,Sentiment,Comment_Time
1,Đồ điện tử,Dịch vụ hỗ trợ sau bán hàng của Đồ điện tử quá kém!,Tiêu cực,2023-06-15 01:06:13
1,Sách,"Sách ổn, nhưng không có gì đặc biệt.",Trung tính,2023-09-07 09:44:08
1,Smartphone,Sản phẩm Smartphone này thực sự tốt hơn so với các thương hiệu khác.,Tích cực,2023-01-02 13:15:51
1,Smartphone,"Sản phẩm Smartphone không đạt kỳ vọng, rất thất vọng.",Tiêu cực,2023-03-10 18:21:57
1,Đồ điện tử,"Tôi rất thích sản phẩm Đồ điện tử, chất lượng tuyệt vời!",Tích cực,2023-02-28 03:39:21
1,Laptops,"Sản phẩm Laptops không đạt kỳ vọng, rất thất vọng.",Tiêu cực,2023-04-30 08:38:02
1,Giày dép,Sẽ không bao giờ mua Giày dép nữa.,Tiêu cực,2023-06-28 20:44:21
1,Smartphone,Sẽ không bao giờ mua Smartphone nữa.,Trung tính,2023-12-19 19:30:58
1,Laptops,"Laptops ổn, nhưng không có gì đặc biệt.",Trung tính,2023-04-28 07:50:44
1,Giày dép,Mình đã mua Giày dép và rất hài lòng.,Tích cực,2023-11-28 07:59:25
1,Laptops,Dịch vụ hỗ trợ sau bán hàng của Laptops quá kém!,Tiêu cực,2023-08-22 15:06:26
1,Đồ điện tử,Mình đã mua Đồ điện tử và rất hài lòng.,Tích cực,2023-05-07 09:57:31
1,Giày dép,Sản phẩm Giày dép này thực sự tốt hơn so với các thương hiệu khác.,Tích cực,2023-05-30 03:25:26
1,Smartphone,"Smartphone ổn, nhưng không có gì đặc biệt.",Trung tính,2023-09-13 18:38:52
1,Đồ điện tử,"Đồ điện tử ổn, nhưng không có gì đặc biệt.",Trung tính,2023-10-31 00:05:54
1,Đồ điện tử,"Sản phẩm Đồ điện tử không đạt kỳ vọng, rất thất vọng.",Tiêu cực,2023-06-13 13:35:12
1,Đồ điện tử,"Tôi rất thích sản phẩm Đồ điện tử, chất lượng tuyệt vời!",Tích cực,2023-12-26 23:11:19
1,Giày dép,Mình đã mua Giày dép và rất hài lòng.,Tích cực,2023-10-19 17:59:34
1,Giày dép,Dịch vụ hỗ trợ sau bán hàng của Giày dép quá kém!,Tiêu cực,2023-04-30 01:38:23
1,Đồ điện tử,"Sản phẩm Đồ điện tử không đạt kỳ vọng, rất thất vọng.",Tiêu cực,2023-01-25 13:27:46
1,Sách,"Sản phẩm Sách không đạt kỳ vọng, rất thất vọng.",Tiêu cực,2023-10-25 00:41:18
1,Sách,Sẽ không bao giờ mua Sách nữa.,Trung tính,2023-01-19 15:35:43
1,Laptops,Sẽ không bao giờ mua Laptops nữa.,Tiêu cực,2023-02-10 02:45:04
1,Laptops,"Tôi rất thích sản phẩm Laptops, chất lượng tuyệt vời!",Tích cực,2023-07-25 09:15:20
1,Đồ điện tử,Dịch vụ hỗ trợ sau bán hàng của Đồ điện tử quá kém!,Tiêu cực,2023-11-25 07:43:14
1,Đồ điện tử,Dịch vụ hỗ trợ sau bán hàng của Đồ điện tử quá kém!,Tiêu cực,2023-04-22 21:22:05
1,Sách,"Sản phẩm Sách không đạt kỳ vọng, rất thất vọng.",Tiêu cực,2023-06-12 03:54:32
1,Đồ điện tử,Sản phẩm Đồ điện tử này thực sự tốt hơn so với các thương hiệu khác.,Tích cực,2023-04-23 14:57:22
1,Laptops,"Laptops ổn, nhưng không có gì đặc biệt.",Trung tính,2023-05-17 15:57:28
1,Giày dép,Dịch vụ hỗ trợ sau bán hàng của Giày dép quá kém!,Tiêu cực,2023-02-27 00:52:18
1,Giày dép,"Giày dép ổn, nhưng không có gì đặc biệt.",Trung tính,2023-04-23 18:24:23
1,Sách,Dịch vụ hỗ trợ sau bán hàng của Sách quá kém!,Tiêu cực,2023-12-15 07:28:36
1,Smartphone,Sản phẩm Smartphone này thực sự tốt hơn so với các thương hiệu khác.,Tích cực,2023-03-24 01:56:45
1,Smartphone,"Smartphone ổn, nhưng không có gì đặc biệt.",Trung tính,2023-02-27 01:48:38
1,Giày dép,"Giày dép ổn, nhưng không có gì đặc biệt.",Trung tính,2023-06-21 05:11:17
1,Smartphone,Sản phẩm Smartphone này thực sự tốt hơn so với các thương hiệu khác.,Tích cực,2023-05-01 09:38:24
1,Laptops,"Tôi rất thích sản phẩm Laptops, chất lượng tuyệt vời!",Tích cực,2023-06-15 13:27:09
1,Giày dép,"Sản phẩm Giày dép không đạt kỳ vọng, rất thất vọng.",Tiêu cực,2023-08-08 19:22:09
1,Smartphone,"Sản phẩm Smartphone không đạt kỳ vọng, rất thất vọng.",Tiêu cực,2023-10-13 08:32:18
